"Water_Source","Number_of_Structures"
"SOUTH PLATTE RIVER",403
"CACHE LA POUDRE RIVER",201
"BOULDER CREEK",141
"SAINT VRAIN CREEK",141
"CLEAR CREEK",110
"BIG THOMPSON RIVER",96
"TARRYALL CREEK",75
"NORTH FORK SOUTH PLATTE RIVER",68
"BEAR CREEK",64
"SOUTH BOULDER CREEK",53
"MIDDLE FORK SOUTH PLATTE RIVER",52
"SOUTH FORK SOUTH PLATTE RIVER",51
"DRY CREEK",44
"FISH CREEK",43
"MICHIGAN CREEK",43
"COAL CREEK",40
"LONE TREE CREEK",39
"CHERRY CREEK",38
"DEER CREEK",31
"LITTLE THOMPSON RIVER",31
"SOUTH FORK REPUBLICAN RIVER",31
"BIG DRY CREEK",30
"COLORADO RIVER",30
"FOURMILE CREEK",30
"LEFT HAND CREEK",30
"LARAMIE RIVER",29
"WEST PLUM CREEK",27
"BEAVER CREEK",25
"KIOWA CREEK",25
"SPRING CREEK",24
"JEFFERSON CREEK",22
"ROCK CREEK",22
"CEDAR CREEK",21
"RALSTON CREEK",21
"BUCKHORN CREEK",20
"SHEEP CREEK",20
"ELK CREEK",19
"PLUM CREEK",19
"SAND CREEK",19
"TRAIL CREEK",19
"CROW CREEK",18
"LITTLE DRY CREEK",18
"SOUTH CLEAR CREEK",18
"BOXELDER CREEK",17
"EAST PLUM CREEK",17
"NORTH FORK CACHE LA POUDRE RIVER",17
"WILLOW CREEK",17
"FALL RIVER",16
"NORTH SAINT VRAIN CREEK",16
"TWIN CREEK",16
"TROUT CREEK",15
"EAST CHERRY CREEK",14
"LAKEWOOD GULCH",14
"CORRAL CREEK",13
"LOST CREEK",13
"NORTH CLEAR CREEK",13
"NORTH FORK REPUBLICAN RIVER",13
"NORTH TURKEY CREEK",13
"RABBIT CREEK",13
"SOUTH LONE PINE CREEK",13
"SOUTH SAINT VRAIN CREEK",13
"BOX ELDER CREEK",12
"ELKHORN CREEK",12
"MILL CREEK",12
"VANCE CREEK",12
"DEADMAN GULCH",11
"FOURMILE CANYON CREEK",11
"GORDON CREEK",11
"HIGH CREEK",11
"JARRE CREEK",11
"NORTH LONE PINE CREEK",11
"WEST CHERRY CREEK",11
"BUFFALO CREEK",10
"OWL CREEK",10
"TURKEY CREEK",10
"TWELVEMILE CREEK",10
