"Date","0100503_Riverside_Canal","0100507_Bijou_Canal","0100514_Ft.Morgan_Canal","0100687_North_Sterling_Canal"
2005-01-01,3082.00,3087.00,0.00,582.00
2005-02-01,3762.00,4552.00,0.00,0.00
2005-03-01,3387.00,3495.00,9.00,0.00
2005-04-01,1249.00,5365.00,0.00,11956.00
2005-05-01,12244.00,14049.00,7834.00,11950.00
2005-06-01,0.00,4510.00,7127.00,8359.00
2005-07-01,20880.00,22415.00,14216.00,24634.00
2005-08-01,20934.00,13462.00,15499.00,18745.00
2005-09-01,13868.00,8200.00,8733.00,13979.00
2005-10-01,4132.00,0.00,1807.00,2080.00
2005-11-01,938.00,4517.00,4260.00,3270.00
2005-12-01,1104.00,2292.00,3936.00,406.00
